location,year,herb,other,trade,plot,trt,rep,waterhempcontrol_14,grasscontrol_14,waterhempcontrol_28,grasscontrol_28,waterhempcontrol_harvest,counts_m2,biomass_gm2,yield_bu,phyto_14,dicambadrift_14,canopyclosure_14
Lancaster,2019,PRE only,PRE only,PRE only,,1,1,85,,88,,,,,,,,
Lancaster,2019,PRE only,PRE only,PRE only,,1,2,85,,25,,,,,,,,
Lancaster,2019,PRE only,PRE only,PRE only,,1,3,95,,95,,,,,,,,
Lancaster,2019,PRE only,PRE only,PRE only,,1,4,35,,10,,,,,,,,
Lancaster,2019,PRE fb glufosinate,PRE fb glufosinate,Liberty,,2,1,99,,95,,,,,,,,
Lancaster,2019,PRE fb glufosinate,PRE fb glufosinate,Liberty,,2,2,99,,99,,,,,,,,
Lancaster,2019,PRE fb glufosinate,PRE fb glufosinate,Liberty,,2,3,99,,99,,,,,,,,
Lancaster,2019,PRE fb glufosinate,PRE fb glufosinate,Liberty,,2,4,99,,99,,,,,,,,
Lancaster,2019,PRE fb imazethapyr + glufosinate,PRE fb glufosinate + imazethapyr,Pursuit,,3,1,91,,98,,,,,,,,
Lancaster,2019,PRE fb imazethapyr + glufosinate,PRE fb glufosinate + imazethapyr,Pursuit,,3,2,95,,88,,,,,,,,
Lancaster,2019,PRE fb imazethapyr + glufosinate,PRE fb glufosinate + imazethapyr,Pursuit,,3,3,85,,75,,,,,,,,
Lancaster,2019,PRE fb imazethapyr + glufosinate,PRE fb glufosinate + imazethapyr,Pursuit,,3,4,99,,99,,,,,,,,
Lancaster,2019,PRE fb fomesafen + glufosinate,PRE fb glufosinate + fomesafen,Flexstar,,4,1,99,,99,,,,,,,,
Lancaster,2019,PRE fb fomesafen + glufosinate,PRE fb glufosinate + fomesafen,Flexstar,,4,2,99,,99,,,,,,,,
Lancaster,2019,PRE fb fomesafen + glufosinate,PRE fb glufosinate + fomesafen,Flexstar,,4,3,99,,99,,,,,,,,
Lancaster,2019,PRE fb fomesafen + glufosinate,PRE fb glufosinate + fomesafen,Flexstar,,4,4,99,,99,,,,,,,,
Lancaster,2019,PRE fb acetochlor + glufosinate,PRE fb glufosinate + acetochlor,Warrant,,5,1,99,,99,,,,,,,,
Lancaster,2019,PRE fb acetochlor + glufosinate,PRE fb glufosinate + acetochlor,Warrant,,5,2,95,,89,,,,,,,,
Lancaster,2019,PRE fb acetochlor + glufosinate,PRE fb glufosinate + acetochlor,Warrant,,5,3,99,,99,,,,,,,,
Lancaster,2019,PRE fb acetochlor + glufosinate,PRE fb glufosinate + acetochlor,Warrant,,5,4,99,,99,,,,,,,,
Lancaster,2019,PRE fb S-metolachlor + glufosinate,PRE fb glufosinate + S-metolachlor,Dual II Magnum,,6,1,99,,99,,,,,,,,
Lancaster,2019,PRE fb S-metolachlor + glufosinate,PRE fb glufosinate + S-metolachlor,Dual II Magnum,,6,2,99,,99,,,,,,,,
Lancaster,2019,PRE fb S-metolachlor + glufosinate,PRE fb glufosinate + S-metolachlor,Dual II Magnum,,6,3,99,,95,,,,,,,,
Lancaster,2019,PRE fb S-metolachlor + glufosinate,PRE fb glufosinate + S-metolachlor,Dual II Magnum,,6,4,95,,99,,,,,,,,
Lancaster,2019,PRE fb dimethenamid-P + glufosinate,PRE fb glufosinate + dimethenamid-P,Outlook,,7,1,95,,99,,,,,,,,
Lancaster,2019,PRE fb dimethenamid-P + glufosinate,PRE fb glufosinate + dimethenamid-P,Outlook,,7,2,99,,99,,,,,,,,
Lancaster,2019,PRE fb dimethenamid-P + glufosinate,PRE fb glufosinate + dimethenamid-P,Outlook,,7,3,99,,99,,,,,,,,
Lancaster,2019,PRE fb dimethenamid-P + glufosinate,PRE fb glufosinate + dimethenamid-P,Outlook,,7,4,99,,99,,,,,,,,
Lancaster,2019,PRE fb pyroxasulfone + glufosinate,PRE fb glufosinate + pyroxasulfone,Zidua,,8,1,99,,99,,,,,,,,
Lancaster,2019,PRE fb pyroxasulfone + glufosinate,PRE fb glufosinate + pyroxasulfone,Zidua,,8,2,99,,99,,,,,,,,
Lancaster,2019,PRE fb pyroxasulfone + glufosinate,PRE fb glufosinate + pyroxasulfone,Zidua,,8,3,99,,99,,,,,,,,
Lancaster,2019,PRE fb pyroxasulfone + glufosinate,PRE fb glufosinate + pyroxasulfone,Zidua,,8,4,99,,99,,,,,,,,
Lancaster,2019,PRE fb fomesafen + S-metolachlor + glufosinate,PRE fb glufosinate + fomesafen + S-metolachlor,Prefix,,9,1,99,,99,,,,,,,,
Lancaster,2019,PRE fb fomesafen + S-metolachlor + glufosinate,PRE fb glufosinate + fomesafen + S-metolachlor,Prefix,,9,2,99,,99,,,,,,,,
Lancaster,2019,PRE fb fomesafen + S-metolachlor + glufosinate,PRE fb glufosinate + fomesafen + S-metolachlor,Prefix,,9,3,99,,99,,,,,,,,
Lancaster,2019,PRE fb fomesafen + S-metolachlor + glufosinate,PRE fb glufosinate + fomesafen + S-metolachlor,Prefix,,9,4,75,,50,,,,,,,,
Lancaster,2019,PRE fb fomesafen + acetochlor + glufosinate,PRE fb glufosinate + fomesafen + acetochlor,Warrant Ultra,,10,1,99,,99,,,,,,,,
Lancaster,2019,PRE fb fomesafen + acetochlor + glufosinate,PRE fb glufosinate + fomesafen + acetochlor,Warrant Ultra,,10,2,99,,99,,,,,,,,
Lancaster,2019,PRE fb fomesafen + acetochlor + glufosinate,PRE fb glufosinate + fomesafen + acetochlor,Warrant Ultra,,10,3,99,,99,,,,,,,,
Lancaster,2019,PRE fb fomesafen + acetochlor + glufosinate,PRE fb glufosinate + fomesafen + acetochlor,Warrant Ultra,,10,4,99,,99,,,,,,,,
Brooklyn,2019,PRE only,PRE only,PRE only,,1,1,60,,50,,0,,,,,,
Brooklyn,2019,PRE only,PRE only,PRE only,,1,2,60,,35,,0,,,30.44193115,,,
Brooklyn,2019,PRE only,PRE only,PRE only,,1,3,73,,50,,0,,,35.05578634,,,
Brooklyn,2019,PRE only,PRE only,PRE only,,1,4,75,,60,,0,,,43.37975189,,,
Brooklyn,2019,PRE fb glufosinate,PRE fb glufosinate,Liberty,,2,1,90,,80,,70,,,,,,
Brooklyn,2019,PRE fb glufosinate,PRE fb glufosinate,Liberty,,2,2,90,,83,,75,,,66.63928991,,,
Brooklyn,2019,PRE fb glufosinate,PRE fb glufosinate,Liberty,,2,3,89,,83,,75,,,55.93704849,,,
Brooklyn,2019,PRE fb glufosinate,PRE fb glufosinate,Liberty,,2,4,99,,97,,98,,,68.05149486,,,
Brooklyn,2019,PRE fb imazethapyr + glufosinate,PRE fb glufosinate + imazethapyr,Pursuit,,3,1,88,,75,,50,,,,,,
Brooklyn,2019,PRE fb imazethapyr + glufosinate,PRE fb glufosinate + imazethapyr,Pursuit,,3,2,94,,83,,80,,,68.01868992,,,
Brooklyn,2019,PRE fb imazethapyr + glufosinate,PRE fb glufosinate + imazethapyr,Pursuit,,3,3,93,,80,,75,,,55.84191746,,,
Brooklyn,2019,PRE fb imazethapyr + glufosinate,PRE fb glufosinate + imazethapyr,Pursuit,,3,4,99,,93,,95,,,65.93564939,,,
Brooklyn,2019,PRE fb fomesafen + glufosinate,PRE fb glufosinate + fomesafen,Flexstar,,4,1,99,,97,,99,,,,,,
Brooklyn,2019,PRE fb fomesafen + glufosinate,PRE fb glufosinate + fomesafen,Flexstar,,4,2,99,,98,,99,,,67.9711244,,,
Brooklyn,2019,PRE fb fomesafen + glufosinate,PRE fb glufosinate + fomesafen,Flexstar,,4,3,99,,99,,99,,,63.78535887,,,
Brooklyn,2019,PRE fb fomesafen + glufosinate,PRE fb glufosinate + fomesafen,Flexstar,,4,4,99,,99,,99,,,62.35839334,,,
Brooklyn,2019,PRE fb acetochlor + glufosinate,PRE fb glufosinate + acetochlor,Warrant,,5,1,83,,75,,60,,,,,,
Brooklyn,2019,PRE fb acetochlor + glufosinate,PRE fb glufosinate + acetochlor,Warrant,,5,2,90,,85,,70,,,67.1625106,,,
Brooklyn,2019,PRE fb acetochlor + glufosinate,PRE fb glufosinate + acetochlor,Warrant,,5,3,95,,90,,85,,,55.84191746,,,
Brooklyn,2019,PRE fb acetochlor + glufosinate,PRE fb glufosinate + acetochlor,Warrant,,5,4,94,,85,,75,,,67.63816578,,,
Brooklyn,2019,PRE fb S-metolachlor + glufosinate,PRE fb glufosinate + S-metolachlor,Dual II Magnum,,6,1,83,,75,,60,,,,,,
Brooklyn,2019,PRE fb S-metolachlor + glufosinate,PRE fb glufosinate + S-metolachlor,Dual II Magnum,,6,2,90,,75,,65,,,56.65053125,,,
Brooklyn,2019,PRE fb S-metolachlor + glufosinate,PRE fb glufosinate + S-metolachlor,Dual II Magnum,,6,3,98,,93,,90,,,,,,
Brooklyn,2019,PRE fb S-metolachlor + glufosinate,PRE fb glufosinate + S-metolachlor,Dual II Magnum,,6,4,94,,85,,88,,,63.78535887,,,
Brooklyn,2019,PRE fb dimethenamid-P + glufosinate,PRE fb glufosinate + dimethenamid-P,Outlook,,7,1,83,,75,,50,,,,,,
Brooklyn,2019,PRE fb dimethenamid-P + glufosinate,PRE fb glufosinate + dimethenamid-P,Outlook,,7,2,90,,83,,80,,,68.97000027,,,
Brooklyn,2019,PRE fb dimethenamid-P + glufosinate,PRE fb glufosinate + dimethenamid-P,Outlook,,7,3,97,,95,,80,,,62.21569679,,,
Brooklyn,2019,PRE fb dimethenamid-P + glufosinate,PRE fb glufosinate + dimethenamid-P,Outlook,,7,4,99,,94,,95,,,63.78535887,,,
Brooklyn,2019,PRE fb pyroxasulfone + glufosinate,PRE fb glufosinate + pyroxasulfone,Zidua,,8,1,83,,70,,65,,,,,,
Brooklyn,2019,PRE fb pyroxasulfone + glufosinate,PRE fb glufosinate + pyroxasulfone,Zidua,,8,2,95,,80,,70,,,,,,
Brooklyn,2019,PRE fb pyroxasulfone + glufosinate,PRE fb glufosinate + pyroxasulfone,Zidua,,8,3,98,,96,,95,,,63.02431059,,,
Brooklyn,2019,PRE fb pyroxasulfone + glufosinate,PRE fb glufosinate + pyroxasulfone,Zidua,,8,4,98,,98,,99,,,62.83404852,,,
Brooklyn,2019,PRE fb fomesafen + S-metolachlor + glufosinate,PRE fb glufosinate + fomesafen + S-metolachlor,Prefix,,9,1,99,,96,,85,,,,,,
Brooklyn,2019,PRE fb fomesafen + S-metolachlor + glufosinate,PRE fb glufosinate + fomesafen + S-metolachlor,Prefix,,9,2,99,,99,,98,,,66.25876577,,,
Brooklyn,2019,PRE fb fomesafen + S-metolachlor + glufosinate,PRE fb glufosinate + fomesafen + S-metolachlor,Prefix,,9,3,99,,99,,99,,,64.45127611,,,
Brooklyn,2019,PRE fb fomesafen + S-metolachlor + glufosinate,PRE fb glufosinate + fomesafen + S-metolachlor,Prefix,,9,4,99,,99,,99,,,66.63928991,,,
Brooklyn,2019,PRE fb fomesafen + acetochlor + glufosinate,PRE fb glufosinate + fomesafen + acetochlor,Warrant Ultra,,10,1,99,,95,,80,,,,,,
Brooklyn,2019,PRE fb fomesafen + acetochlor + glufosinate,PRE fb glufosinate + fomesafen + acetochlor,Warrant Ultra,,10,2,99,,98,,99,,,71.44340717,,,
Brooklyn,2019,PRE fb fomesafen + acetochlor + glufosinate,PRE fb glufosinate + fomesafen + acetochlor,Warrant Ultra,,10,3,99,,99,,90,,,62.45352438,,,
Brooklyn,2019,PRE fb fomesafen + acetochlor + glufosinate,PRE fb glufosinate + fomesafen + acetochlor,Warrant Ultra,,10,4,99,,99,,99,,,68.39921406,,,
Lancaster,2020,PRE only,PRE only,PRE only,101,1,1,70,,60,,,6,22.18,65.32140697,0,,
Lancaster,2020,PRE only,PRE only,PRE only,203,1,2,78,,40,,,2,1.96,66.52700341,1,,
Lancaster,2020,PRE only,PRE only,PRE only,308,1,3,80,,50,,,6,46.84,74.47297993,0,,
Lancaster,2020,PRE only,PRE only,PRE only,405,1,4,65,,55,,,2,0.68,71.18498965,2,,
Lancaster,2020,PRE fb glufosinate,PRE fb glufosinate,Liberty,102,2,1,100,75,0,,,2,1.18,71.62338835,0,,
Lancaster,2020,PRE fb glufosinate,PRE fb glufosinate,Liberty,207,2,2,85,95,50,,,2,0,74.80177896,0,,
Lancaster,2020,PRE fb glufosinate,PRE fb glufosinate,Liberty,306,2,3,92,91,78,,,8,44.16,63.18421329,0.5,,
Lancaster,2020,PRE fb glufosinate,PRE fb glufosinate,Liberty,404,2,4,94,80,92,,,2,0,73.76058204,1,,
Lancaster,2020,PRE fb imazethapyr + glufosinate,PRE fb glufosinate + imazethapyr,Pursuit,103,3,1,100,70,75,,,0,0,71.23978949,1.5,,
Lancaster,2020,PRE fb imazethapyr + glufosinate,PRE fb glufosinate + imazethapyr,Pursuit,209,3,2,95,94,78,,,2,0.44,67.07500179,1.5,,
